nome,id_aluno,dominio,email,matriculas
DENILSON,343,@gmail.com,denilson@gmail.com,2
IAGO,142,@gmail.com,iago@gmail.com,4
EDER,64,@hotmail.com,eder@hotmail.com,2
YURI,13,@gmail.com,yuri@gmail.com,1
CHARLES,246,@gmail.com,charles@gmail.com,1
MARLON,82,@gmail.com,marlon@gmail.com,4
ALISON,380,@gmail.com,alison@gmail.com,1
JONATAN,371,@gmail.com,jonatan@gmail.com,1
ERIC,52,@gmail.com,eric@gmail.com,2
ELTON,62,@gmail.com,elton@gmail.com,3
VALDECIR,87,@hotmail.com,valdecir@hotmail.com,1
WESLEI,18,@hotmail.com,weslei@hotmail.com,12
NATANAEL,111,@hotmail.com,natanael@hotmail.com,1
ERICK,161,@gmail.com,erick@gmail.com,6
AGNALDO,250,@gmail.com,agnaldo@gmail.com,1
KAUAN,225,@gmail.com,kauan@gmail.com,1
ODAIR,36,@gmail.com,odair@gmail.com,2
WALTER,388,@gmail.com,walter@gmail.com,2
ARLINDO,175,@hotmail.com,arlindo@hotmail.com,1
MICHAEL,375,@hotmail.com,michael@hotmail.com,1
ALVARO,57,@hotmail.com,alvaro@hotmail.com,1
GEOVANE,6,@gmail.com,geovane@gmail.com,2
MARIA,105,@hotmail.com,maria@hotmail.com,2
ANA,321,@gmail.com,ana@gmail.com,5
FRANCISCA,231,@gmail.com,francisca@gmail.com,3
ANTONIA,136,@gmail.com,antonia@gmail.com,1
ADRIANA,221,@hotmail.com,adriana@hotmail.com,3
JULIANA,140,@gmail.com,juliana@gmail.com,2
MARCIA,400,@gmail.com,marcia@gmail.com,1
FERNANDA,124,@hotmail.com,fernanda@hotmail.com,2
PATRICIA,33,@hotmail.com,patricia@hotmail.com,2
ALINE,188,@gmail.com,aline@gmail.com,1
SANDRA,129,@hotmail.com,sandra@hotmail.com,1
CAMILA,278,@gmail.com,camila@gmail.com,1
AMANDA,170,@hotmail.com,amanda@hotmail.com,3
BRUNA,336,@gmail.com,bruna@gmail.com,1
JESSICA,91,@hotmail.com,jessica@hotmail.com,3
LETICIA,147,@hotmail.com,leticia@hotmail.com,1
JULIA,47,@hotmail.com,julia@hotmail.com,2
LUCIANA,296,@hotmail.com,luciana@hotmail.com,1
VANESSA,263,@hotmail.com,vanessa@hotmail.com,1
MARIANA,309,@gmail.com,mariana@gmail.com,1
GABRIELA,280,@hotmail.com,gabriela@hotmail.com,4
VERA,195,@hotmail.com,vera@hotmail.com,2
VITORIA,63,@hotmail.com,vitoria@hotmail.com,1
LARISSA,116,@hotmail.com,larissa@hotmail.com,1
CLAUDIA,287,@gmail.com,claudia@gmail.com,2
BEATRIZ,378,@hotmail.com,beatriz@hotmail.com,1
RITA,293,@hotmail.com,rita@hotmail.com,1
LUANA,146,@hotmail.com,luana@hotmail.com,2
SONIA,241,@gmail.com,sonia@gmail.com,1
RENATA,259,@gmail.com,renata@gmail.com,2
ELIANE,75,@hotmail.com,eliane@hotmail.com,2
JOSEFA,106,@gmail.com,josefa@gmail.com,1
SIMONE,289,@gmail.com,simone@gmail.com,1
NATALIA,48,@hotmail.com,natalia@hotmail.com,3
CRISTIANE,180,@gmail.com,cristiane@gmail.com,5
CARLA,167,@gmail.com,carla@gmail.com,1
DEBORA,66,@hotmail.com,debora@hotmail.com,1
ROSANGELA,207,@gmail.com,rosangela@gmail.com,2
JAQUELINE,44,@gmail.com,jaqueline@gmail.com,8
ROSA,101,@gmail.com,rosa@gmail.com,1
APARECIDA,398,@gmail.com,aparecida@gmail.com,1
DANIELA,384,@gmail.com,daniela@gmail.com,1
MARLENE,83,@hotmail.com,marlene@hotmail.com,1
TEREZINHA,158,@hotmail.com,terezinha@hotmail.com,1
RAIMUNDA,210,@gmail.com,raimunda@gmail.com,1
ANDREIA,383,@hotmail.com,andreia@hotmail.com,1
FABIANA,185,@hotmail.com,fabiana@hotmail.com,2
LUCIA,348,@hotmail.com,lucia@hotmail.com,5
RAQUEL,29,@hotmail.com,raquel@hotmail.com,3
ANGELA,114,@hotmail.com,angela@hotmail.com,5
RAFAELA,204,@hotmail.com,rafaela@hotmail.com,4
JOANA,102,@gmail.com,joana@gmail.com,4
LUZIA,71,@hotmail.com,luzia@hotmail.com,3
ELAINE,254,@gmail.com,elaine@gmail.com,1
REGINA,272,@gmail.com,regina@gmail.com,2
DANIELE,39,@hotmail.com,daniele@hotmail.com,1
SUELI,266,@hotmail.com,sueli@hotmail.com,2
DAIANE,176,@gmail.com,daiane@gmail.com,1
ALESSANDRA,69,@gmail.com,alessandra@gmail.com,1
ISABEL,243,@hotmail.com,isabel@hotmail.com,4
SARA,311,@hotmail.com,sara@hotmail.com,1
BIANCA,329,@hotmail.com,bianca@hotmail.com,1
FLAVIA,182,@gmail.com,flavia@gmail.com,1
ERICA,68,@hotmail.com,erica@hotmail.com,2
VIVIANE,86,@hotmail.com,viviane@hotmail.com,1
SILVANA,22,@gmail.com,silvana@gmail.com,1
PRISCILA,110,@gmail.com,priscila@gmail.com,1
PAULA,256,@gmail.com,paula@gmail.com,2
LUIZA,197,@hotmail.com,luiza@hotmail.com,2
TEREZA,145,@gmail.com,tereza@gmail.com,1
ISABELA,7,@gmail.com,isabela@gmail.com,5
MARTA,316,@gmail.com,marta@gmail.com,1
CAROLINE,369,@hotmail.com,caroline@hotmail.com,1
JANAINA,104,@hotmail.com,janaina@hotmail.com,1
LAURA,370,@gmail.com,laura@gmail.com,2
MARLI,251,@gmail.com,marli@gmail.com,2
TATIANE,20,@hotmail.com,tatiane@hotmail.com,6
MARINA,49,@gmail.com,marina@gmail.com,1
SILVIA,50,@gmail.com,silvia@gmail.com,1
MONICA,335,@hotmail.com,monica@hotmail.com,1
TAIS,264,@gmail.com,tais@gmail.com,4
MICHELE,215,@hotmail.com,michele@hotmail.com,2
SOLANGE,109,@gmail.com,solange@gmail.com,1
EDNA,372,@hotmail.com,edna@hotmail.com,2
FATIMA,200,@gmail.com,fatima@gmail.com,3
HELENA,362,@hotmail.com,helena@hotmail.com,2
CRISTINA,4,@gmail.com,cristina@gmail.com,3
ALICE,10,@gmail.com,alice@gmail.com,1
CAROLINA,315,@hotmail.com,carolina@hotmail.com,1
ROSANA,328,@gmail.com,rosana@gmail.com,2
ANDRESSA,189,@hotmail.com,andressa@hotmail.com,1
CELIA,300,@gmail.com,celia@gmail.com,1
VALERIA,153,@hotmail.com,valeria@hotmail.com,1
ELIANA,310,@gmail.com,eliana@gmail.com,1
SABRINA,132,@hotmail.com,sabrina@hotmail.com,2
ANDREA,334,@hotmail.com,andrea@hotmail.com,2
TANIA,391,@gmail.com,tania@gmail.com,3
BARBARA,198,@hotmail.com,barbara@hotmail.com,2
THAIS,141,@hotmail.com,thais@hotmail.com,1
DENISE,217,@gmail.com,denise@gmail.com,4
ROSELI,34,@gmail.com,roseli@gmail.com,1
GISELE,96,@hotmail.com,gisele@hotmail.com,1
MARILENE,212,@hotmail.com,marilene@hotmail.com,1
KATIA,135,@gmail.com,katia@gmail.com,5
EVA,21,@hotmail.com,eva@hotmail.com,1
MILENA,228,@gmail.com,milena@gmail.com,2
EDUARDA,269,@gmail.com,eduarda@gmail.com,3
ELISANGELA,373,@hotmail.com,elisangela@hotmail.com,1
VILMA,394,@hotmail.com,vilma@hotmail.com,1
GEOVANA,229,@hotmail.com,geovana@hotmail.com,3
LUCIENE,382,@hotmail.com,luciene@hotmail.com,1
TAMIRES,267,@gmail.com,tamires@gmail.com,3
TATIANA,118,@hotmail.com,tatiana@hotmail.com,1
ROBERTA,190,@gmail.com,roberta@gmail.com,2
ELZA,112,@hotmail.com,elza@hotmail.com,4
TALITA,340,@hotmail.com,talita@hotmail.com,1
MARCELA,107,@hotmail.com,marcela@hotmail.com,1
PAMELA,103,@hotmail.com,pamela@hotmail.com,3
VANIA,354,@hotmail.com,vania@hotmail.com,1
IRENE,168,@gmail.com,irene@gmail.com,1
JOSIANE,178,@hotmail.com,josiane@hotmail.com,2
LIVIA,364,@gmail.com,livia@gmail.com,2
CINTIA,119,@hotmail.com,cintia@hotmail.com,1
IVONE,365,@gmail.com,ivone@gmail.com,1
LAIS,279,@hotmail.com,lais@hotmail.com,2
BENEDITA,265,@hotmail.com,benedita@hotmail.com,5
SEBASTIANA,151,@hotmail.com,sebastiana@hotmail.com,2
TAINA,350,@gmail.com,taina@gmail.com,3
JOICE,35,@hotmail.com,joice@hotmail.com,1
MIRIAN,128,@hotmail.com,mirian@hotmail.com,1
ELIZABETE,60,@hotmail.com,elizabete@hotmail.com,1
ANGELICA,292,@hotmail.com,angelica@hotmail.com,3
GABRIELE,3,@hotmail.com,gabriele@hotmail.com,2
BRENDA,117,@hotmail.com,brenda@hotmail.com,2
VERONICA,115,@gmail.com,veronica@gmail.com,4
ROSILENE,397,@gmail.com,rosilene@gmail.com,1
KARINA,97,@hotmail.com,karina@hotmail.com,2
NAIR,53,@gmail.com,nair@gmail.com,1
NEUSA,98,@hotmail.com,neusa@hotmail.com,4
MARGARIDA,206,@hotmail.com,margarida@hotmail.com,1
NEUZA,337,@gmail.com,neuza@gmail.com,1
NEIDE,134,@gmail.com,neide@gmail.com,2
RAISSA,191,@gmail.com,raissa@gmail.com,3
MAIARA,261,@gmail.com,maiara@gmail.com,1
LORENA,389,@hotmail.com,lorena@hotmail.com,3
FRANCIELE,333,@gmail.com,franciele@gmail.com,1
SAMARA,65,@hotmail.com,samara@hotmail.com,4
LILIAN,376,@gmail.com,lilian@gmail.com,1
JANETE,193,@gmail.com,janete@gmail.com,1
CICERA,342,@gmail.com,cicera@gmail.com,2
GIOVANA,399,@hotmail.com,giovana@hotmail.com,2
SEVERINA,2,@gmail.com,severina@gmail.com,3
LARA,56,@gmail.com,lara@gmail.com,1
CLEIDE,271,@hotmail.com,cleide@hotmail.com,2
NICOLE,216,@hotmail.com,nicole@hotmail.com,1
CECILIA,325,@gmail.com,cecilia@gmail.com,2
YASMIN,245,@gmail.com,yasmin@gmail.com,6
CONCEICAO,332,@hotmail.com,conceicao@hotmail.com,4
INGRID,227,@gmail.com,ingrid@gmail.com,2
SELMA,341,@gmail.com,selma@gmail.com,3
LEILA,282,@hotmail.com,leila@hotmail.com,3
RAIANE,390,@gmail.com,raiane@gmail.com,1
ESTER,27,@gmail.com,ester@gmail.com,1
REGIANE,392,@hotmail.com,regiane@hotmail.com,2
MARISA,173,@gmail.com,marisa@gmail.com,3
EUNICE,326,@hotmail.com,eunice@hotmail.com,2
KELLY,12,@hotmail.com,kelly@hotmail.com,1
TAINARA,303,@hotmail.com,tainara@hotmail.com,1
IARA,277,@gmail.com,iara@gmail.com,1
JOELMA,77,@gmail.com,joelma@gmail.com,1
MARINALVA,113,@hotmail.com,marinalva@hotmail.com,4
TERESINHA,395,@hotmail.com,teresinha@hotmail.com,1
REBECA,205,@gmail.com,rebeca@gmail.com,2
GERALDA,249,@hotmail.com,geralda@hotmail.com,2
CLEONICE,171,@hotmail.com,cleonice@hotmail.com,2
ALEXANDRA,1,@gmail.com,alexandra@gmail.com,2
MARA,319,@gmail.com,mara@gmail.com,1
JENIFER,130,@hotmail.com,jenifer@hotmail.com,1
ELIZANGELA,314,@hotmail.com,elizangela@hotmail.com,1
LILIANE,396,@hotmail.com,liliane@hotmail.com,2
LIDIA,172,@hotmail.com,lidia@hotmail.com,1
IRACEMA,302,@gmail.com,iracema@gmail.com,1
LIDIANE,288,@gmail.com,lidiane@gmail.com,6
IRACI,99,@gmail.com,iraci@gmail.com,3
MARILIA,247,@hotmail.com,marilia@hotmail.com,2
SHEILA,357,@hotmail.com,sheila@hotmail.com,2
INES,32,@hotmail.com,ines@hotmail.com,4
NAIARA,291,@hotmail.com,naiara@hotmail.com,2
POLIANA,131,@gmail.com,poliana@gmail.com,2
DALVA,73,@gmail.com,dalva@gmail.com,3
LURDES,356,@gmail.com,lurdes@gmail.com,3
TERESA,43,@gmail.com,teresa@gmail.com,1
ZILDA,81,@hotmail.com,zilda@hotmail.com,1
LUCILENE,201,@hotmail.com,lucilene@hotmail.com,1
CLARA,258,@hotmail.com,clara@hotmail.com,2
ROSANE,70,@hotmail.com,rosane@hotmail.com,6
IVONETE,313,@gmail.com,ivonete@gmail.com,1
LUCIANE,363,@hotmail.com,luciane@hotmail.com,1
ISADORA,126,@gmail.com,isadora@gmail.com,1
NILZA,80,@gmail.com,nilza@gmail.com,2
